date,case_status,cases,deaths,county,cases_rolling,deaths_rolling
2020-07-29,Confirmed,389,4,metro,309.0,2.7142857142857144
2020-07-30,Confirmed,333,4,metro,310.7142857142857,2.857142857142857
2020-07-31,Confirmed,354,4,metro,317.42857142857144,2.7142857142857144
2020-08-01,Confirmed,310,2,metro,328.14285714285717,2.857142857142857
2020-08-02,Confirmed,244,3,metro,334.7142857142857,3.0
2020-08-03,Confirmed,397,3,metro,341.85714285714283,3.142857142857143
2020-08-04,Confirmed,403,3,metro,347.14285714285717,3.2857142857142856
2020-08-05,Confirmed,356,3,metro,342.42857142857144,3.142857142857143
2020-08-06,Confirmed,337,3,metro,343.0,3.0
2020-08-07,Confirmed,376,8,metro,346.14285714285717,3.5714285714285716
2020-08-08,Confirmed,274,5,metro,341.0,4.0
2020-08-09,Confirmed,291,6,metro,347.7142857142857,4.428571428571429
2020-08-10,Confirmed,501,2,metro,362.57142857142856,4.285714285714286
2020-08-11,Confirmed,402,4,metro,362.42857142857144,4.428571428571429
2020-08-12,Confirmed,389,3,metro,367.14285714285717,4.428571428571429
2020-08-13,Confirmed,362,3,metro,370.7142857142857,4.428571428571429
2020-08-14,Confirmed,314,5,metro,361.85714285714283,4.0
2020-08-15,Confirmed,262,2,metro,360.14285714285717,3.5714285714285716
2020-08-16,Confirmed,231,1,metro,351.57142857142856,2.857142857142857
2020-08-17,Confirmed,376,4,metro,333.7142857142857,3.142857142857143
2020-08-18,Confirmed,322,6,metro,322.2857142857143,3.4285714285714284
2020-08-19,Confirmed,319,7,metro,312.2857142857143,4.0
2020-08-20,Confirmed,326,5,metro,307.14285714285717,4.285714285714286
2020-08-21,Confirmed,336,3,metro,310.2857142857143,4.0
2020-08-22,Confirmed,287,1,metro,313.85714285714283,3.857142857142857
2020-08-23,Confirmed,262,6,metro,318.2857142857143,4.571428571428571
2020-08-24,Confirmed,368,3,metro,317.14285714285717,4.428571428571429
2020-08-25,Confirmed,281,7,metro,311.2857142857143,4.571428571428571
2020-08-26,Confirmed,262,5,metro,303.14285714285717,4.285714285714286
2020-08-27,Confirmed,260,6,metro,293.7142857142857,4.428571428571429
2020-08-28,Confirmed,261,6,metro,283.0,4.857142857142857
2020-08-29,Confirmed,232,2,metro,275.14285714285717,5.0
2020-08-30,Confirmed,166,2,metro,261.42857142857144,4.428571428571429
2020-08-31,Confirmed,267,4,metro,247.0,4.571428571428571
2020-09-01,Confirmed,336,7,metro,254.85714285714286,4.571428571428571
2020-09-02,Confirmed,235,5,metro,251.0,4.571428571428571
2020-09-03,Confirmed,213,6,metro,244.28571428571428,4.571428571428571
2020-09-04,Confirmed,205,3,metro,236.28571428571428,4.142857142857143
2020-09-05,Confirmed,186,3,metro,229.71428571428572,4.285714285714286
