date,case_status,cases,deaths,county,cases_rolling,deaths_rolling
2020-09-03,Confirmed,205,6,tricounty,233.57142857142858,4.428571428571429
2020-09-04,Confirmed,191,3,tricounty,224.42857142857142,4.0
2020-09-05,Confirmed,178,3,tricounty,218.42857142857142,4.142857142857143
2020-09-06,Confirmed,119,5,tricounty,212.71428571428572,4.571428571428571
2020-09-07,Confirmed,125,4,tricounty,194.85714285714286,4.571428571428571
2020-09-08,Confirmed,259,5,tricounty,186.14285714285714,4.285714285714286
2020-09-09,Confirmed,211,3,tricounty,184.0,4.142857142857143
2020-09-10,Confirmed,215,3,tricounty,185.42857142857142,3.7142857142857144
2020-09-11,Confirmed,201,4,tricounty,186.85714285714286,3.857142857142857
2020-09-12,Confirmed,184,2,tricounty,187.71428571428572,3.7142857142857144
2020-09-13,Confirmed,167,4,tricounty,194.57142857142858,3.5714285714285716
2020-09-14,Confirmed,225,5,tricounty,208.85714285714286,3.7142857142857144
2020-09-15,Confirmed,223,5,tricounty,203.71428571428572,3.7142857142857144
2020-09-16,Confirmed,220,3,tricounty,205.0,3.7142857142857144
2020-09-17,Confirmed,211,4,tricounty,204.42857142857142,3.857142857142857
2020-09-18,Confirmed,218,9,tricounty,206.85714285714286,4.571428571428571
2020-09-19,Confirmed,159,3,tricounty,203.28571428571428,4.714285714285714
2020-09-20,Confirmed,149,3,tricounty,200.71428571428572,4.571428571428571
2020-09-21,Confirmed,297,2,tricounty,211.0,4.142857142857143
2020-09-22,Confirmed,250,3,tricounty,214.85714285714286,3.857142857142857
2020-09-23,Confirmed,259,3,tricounty,220.42857142857142,3.857142857142857
2020-09-24,Confirmed,203,3,tricounty,219.28571428571428,3.7142857142857144
2020-09-25,Confirmed,213,7,tricounty,218.57142857142858,3.4285714285714284
2020-09-26,Confirmed,194,3,tricounty,223.57142857142858,3.4285714285714284
2020-09-27,Confirmed,185,3,tricounty,228.71428571428572,3.4285714285714284
2020-09-28,Confirmed,267,2,tricounty,224.42857142857142,3.4285714285714284
2020-09-29,Confirmed,222,5,tricounty,220.42857142857142,3.7142857142857144
2020-09-30,Confirmed,210,4,tricounty,213.42857142857142,3.857142857142857
2020-10-01,Confirmed,225,7,tricounty,216.57142857142858,4.428571428571429
2020-10-02,Confirmed,248,4,tricounty,221.57142857142858,4.0
2020-10-03,Confirmed,202,2,tricounty,222.71428571428572,3.857142857142857
2020-10-04,Confirmed,201,5,tricounty,225.0,4.142857142857143
2020-10-05,Confirmed,312,4,tricounty,231.42857142857142,4.428571428571429
2020-10-06,Confirmed,343,5,tricounty,248.71428571428572,4.428571428571429
2020-10-07,Confirmed,374,5,tricounty,272.14285714285717,4.571428571428571
2020-10-08,Confirmed,342,6,tricounty,288.85714285714283,4.428571428571429
2020-10-09,Confirmed,370,5,tricounty,306.2857142857143,4.571428571428571
2020-10-10,Confirmed,291,5,tricounty,319.0,5.0
2020-10-11,Confirmed,305,4,tricounty,333.85714285714283,4.857142857142857
2020-10-12,Confirmed,402,4,tricounty,346.7142857142857,4.857142857142857
2020-10-13,Confirmed,419,5,tricounty,357.57142857142856,4.857142857142857
2020-10-14,Confirmed,450,6,tricounty,368.42857142857144,5.0
2020-10-15,Confirmed,377,4,tricounty,373.42857142857144,4.714285714285714
2020-10-16,Confirmed,407,12,tricounty,378.7142857142857,5.714285714285714
2020-10-17,Confirmed,348,3,tricounty,386.85714285714283,5.428571428571429
2020-10-18,Confirmed,341,3,tricounty,392.0,5.285714285714286
2020-10-19,Confirmed,638,10,tricounty,425.7142857142857,6.142857142857143
2020-10-20,Confirmed,634,12,tricounty,456.42857142857144,7.142857142857143
2020-10-21,Confirmed,637,6,tricounty,483.14285714285717,7.142857142857143
2020-10-22,Confirmed,666,3,tricounty,524.4285714285714,7.0
2020-10-23,Confirmed,677,7,tricounty,563.0,6.285714285714286
2020-10-24,Confirmed,613,4,tricounty,600.8571428571429,6.428571428571429
2020-10-25,Confirmed,549,7,tricounty,630.5714285714286,7.0
2020-10-26,Confirmed,1025,6,tricounty,685.8571428571429,6.428571428571429
2020-10-27,Confirmed,987,3,tricounty,736.2857142857143,5.142857142857143
2020-10-28,Confirmed,1065,7,tricounty,797.4285714285714,5.285714285714286
2020-10-29,Confirmed,996,5,tricounty,844.5714285714286,5.571428571428571
2020-10-30,Confirmed,1128,10,tricounty,909.0,6.0
2020-10-31,Confirmed,848,7,tricounty,942.5714285714286,6.428571428571429
2020-11-01,Confirmed,889,7,tricounty,991.1428571428571,6.428571428571429
2020-11-02,Confirmed,1666,11,tricounty,1082.7142857142858,7.142857142857143
2020-11-03,Confirmed,1641,10,tricounty,1176.142857142857,8.142857142857142
2020-11-04,Confirmed,1857,14,tricounty,1289.2857142857142,9.142857142857142
2020-11-05,Confirmed,1830,6,tricounty,1408.4285714285713,9.285714285714286
2020-11-06,Confirmed,1803,12,tricounty,1504.857142857143,9.571428571428571
